,unique_call_stacks,total_runtimes,severity,TotalRuntimeSum(AllFunc)
166,c412c1,9,0.1,
167,9f22de,13,0.1,
168,3118f3,7,0.1,
169,1e1c1f,6,0.1,
170,c4c3b1,5761,0.1,
171,a7514b,3366,0.1,
172,427b65,1547,0.1,
173,ad6632,1609,0.1,
174,9d7f6d,34866,0.1,
175,038b28,11,0.1,
176,3f08df,4,0.1,
177,4274e0,4,0.1,
178,f65f30,13,0.1,
179,95bb84,3,0.1,
180,948882,13,0.1,
181,5cc46e,4,0.1,
182,f49d5f,13,0.1,
183,1627c4,1762,0.1,
184,bb2ab3,807,0.1,
185,eb0c87,59,0.1,
186,bf125c,833,0.1,
187,08f873,68,0.1,
188,a4287c,70,0.1,
189,8cf714,71,0.1,
190,f1619b,68,0.1,
191,beea7b,56,0.1,
192,20d9db,56,0.1,
193,1bd6a3,69,0.1,
194,b05c7d,152,0.1,
195,879ddb,658,0.1,
196,b4ac22,56,0.1,
197,a5d5cb,341,0.1,
198,b32edc,81,0.1,
199,6b6f90,7,0.1,
200,aed3e5,7,0.1,
201,c8681b,9,0.1,
202,3d1a69,9,0.1,
203,42d144,10,0.1,
204,c8756b,27,0.1,
205,6acb47,11,0.1,
206,06bbf7,10,0.1,
207,0a9d1e,34,0.1,
208,4ad46e,36,0.1,
209,012b97,31,0.1,
210,2a0a20,21,0.1,
211,800daf,21,0.1,
212,b944d0,14,0.1,
213,cbd40b,89,0.1,
214,d029d5,86,0.1,
215,a49d2e,103,0.1,
216,4220f8,18,0.1,
217,d2df92,26,0.1,
218,825172,19,0.1,
219,ae8246,18,0.1,
220,17e84b,18,0.1,
221,0f2f13,17,0.1,
222,97d911,17,0.1,
223,29f66a,19,0.1,
224,d666bd,23,0.1,
225,ba0eac,9,0.1,
226,59ff39,10,0.1,
227,4f3887,17,0.1,
228,f37b6a,16,0.1,
229,664a84,16,0.1,
230,e714ff,16,0.1,
231,017be9,38,0.1,
232,424ee4,37,0.1,
233,55f00a,21,0.1,
234,2bdb06,38,0.1,
235,defc4a,28,0.1,
236,f152d8,31,0.1,
237,34674f,8,0.1,
238,a5b49b,8,0.1,
239,1d1188,8,0.1,
240,2e2954,8,0.1,
241,25da6a,15,0.1,
242,3ea002,15,0.1,
243,74d0f4,15,0.1,
244,fb517d,15,0.1,
245,96b1ea,15,0.1,
246,5f75bf,44,0.1,
247,a43aaf,52,0.1,
248,a27336,10,0.1,
249,9f108a,32,0.1,
250,586af3,21,0.1,
251,301bdd,25,0.1,
252,4cb377,189,0.1,
253,27dd0d,229,0.1,
254,43c86c,17,0.1,
255,2b9d15,30,0.1,
256,b7c54d,157,0.1,
257,f1901a,445,0.1,
258,4a905c,192,0.1,
259,e2b00c,7,0.1,
260,b61294,57,0.1,
261,9cbaaf,972,0.1,
262,490b57,3271,0.1,
263,071148,4,0.1,
264,05aaf7,3,0.1,
265,1f45bd,72,0.1,
266,4345e3,54,0.1,
267,2e48be,95,0.1,
268,94471d,46,0.1,
269,ab7e84,6415,0.1,
270,de0dec,22,0.1,
271,e89de8,16,0.1,
272,41b5ef,35,0.1,
273,3fdcdb,23,0.1,
274,806c51,94,0.1,
275,5b1968,15,0.1,
276,e1dff6,10,0.1,
277,7aa910,15,0.1,
278,383e24,421,0.1,
279,cdc6f3,20,0.1,
280,145697,1289,0.1,
281,59757f,10,0.1,
282,6d3b61,3,0.1,
283,e2b55e,15,0.1,
284,1e4683,21,0.1,
285,c9cbfb,22,0.1,
286,e77eac,255,0.1,
287,d2a04e,230,0.1,
288,9d26c9,279,0.1,
289,eca9e4,13,0.1,
290,e3f59a,3,0.1,
291,2a3b18,358,0.1,
292,dcc610,167,0.1,
293,b21d32,811,0.1,
294,409f7b,3,0.1,
295,37de0c,1171,0.1,
296,6603d9,390,0.1,
297,f845f1,635,0.1,
298,a622dc,619,0.1,
299,5be719,6608,0.1,
300,233a55,117812,0.2,
301,350b1e,15607,0.1,
302,7de2ba,17404,0.1,
303,a565ca,12387,0.1,
304,f37635,7538,0.1,
305,a7f8b6,55,0.1,
306,442b45,9,0.1,
307,9b54dc,15,0.1,
308,9c53ac,59,0.1,
309,ca0e76,29,0.1,
310,ad993f,602,0.1,
311,28fed4,12,0.1,
312,b561d1,12,0.1,
313,120ccc,47,0.1,
314,174d91,46,0.1,
315,80b777,13,0.1,
316,cf4146,10,0.1,
317,bc5b16,16,0.1,
318,878e2b,12,0.1,
319,f14de9,12,0.1,
320,1c041b,15,0.1,
321,5d5b48,5,0.1,
322,001e38,11,0.1,
323,4da65a,3,0.1,
324,d84390,2,0.1,
325,800f51,34,0.1,
326,1f9e0a,3,0.1,
327,a9c1a0,3,0.1,
328,f20c81,3,0.1,
329,1d5fcc,3,0.1,
330,3fd06f,4,0.1,
331,eb305e,4,0.1,
332,91ea8e,3,0.1,
333,227476,3,0.1,
334,b4b1bd,0,0.1,
335,6f19b3,5,0.1,
336,fb8716,5,0.1,
337,5f5558,3,0.1,
338,4ac790,0,0.1,
339,b6adf6,0,0.1,
340,c85077,0,0.1,
341,ebeeec,0,0.1,
342,510943,0,0.1,
343,053949,83,0.1,
344,e96280,8,0.1,
345,f9aa19,4,0.1,
346,e5c18d,21,0.1,
347,b558c8,2,0.1,
348,92c36c,3,0.1,
349,f6d819,1,0.1,
350,0c6bb3,3,0.1,
351,d2eb5e,3,0.1,
352,7ebc0c,2,0.1,
353,f8a840,7,0.1,
354,d7266e,3,0.1,
355,404b62,6,0.1,
356,d57b38,3,0.1,
357,3551fd,3,0.1,
358,243a74,3,0.1,
359,747692,2,0.1,
360,4fd0ad,0,0.1,
361,24a6bb,2,0.1,
362,2b75d5,0,0.1,
363,8454e1,0,0.1,
364,db3d9f,0,0.1,
365,146097,240,0.1,
366,1e9e23,1061,0.1,
367,fbf174,396,0.1,
368,508c05,686,0.1,
369,aaadb3,1161,0.1,
370,d7f3ab,612,0.1,
371,9f7538,392,0.1,
372,f0f108,630,0.1,
373,943d6c,235,0.1,
374,b961e8,344,0.1,
375,074172,93,0.1,
376,ad1053,521,0.1,
377,9e1ea1,227,0.1,
378,0b014c,145,0.1,
379,75abbf,571,0.1,
380,c6391c,135,0.1,
381,f22869,145,0.1,
382,1d81fb,152,0.1,
383,3df6a3,226,0.1,
384,b0fa77,233,0.1,
385,95879d,628,0.1,
386,d13531,352,0.1,
387,a2e446,342,0.1,
388,db8018,70273,0.1,
389,ac8421,8829,0.1,
390,1423a0,6047,0.1,
391,49593c,8919,0.1,
392,11c182,4001,0.1,
393,d9a426,8893,0.1,
394,c750c2,3014,0.1,
395,0d8899,3799,0.1,
396,4f64b6,4231,0.1,
397,4d2c3a,7726,0.1,
398,403cf3,3992,0.1,
399,96918f,0,0.1,
400,6c1167,0,0.1,
401,23f70e,0,0.1,
402,7c3d5a,226,0.1,
403,9491a5,382,0.1,
404,abf252,596,0.1,
405,8aa095,1165,0.1,
406,1188b6,348,0.1,
407,998699,1064,0.1,
408,49e7cd,333,0.1,
409,7996b0,219,0.1,
410,8ee230,141,0.1,
411,41f54d,130,0.1,
412,ca494c,177,0.1,
413,45db4c,164,0.1,
414,705177,202,0.1,
415,ddc09b,164,0.1,
416,a38887,539,0.1,
417,8139bc,513,0.1,
418,92203e,221,0.1,
419,b8c578,187,0.1,
420,9a90f7,11842,0.1,
421,8a448d,4215,0.1,
422,fec71e,6046,0.1,
423,76d30b,2181,0.1,
424,05b509,14,0.1,
425,2fa856,25,0.1,
426,2f516f,15,0.1,
427,2a436a,14,0.1,
428,6ece53,17,0.1,
429,270d3b,20,0.1,
430,a38cd1,17,0.1,
431,53b764,43,0.1,
432,eaf557,22744,0.1,
433,1e85a2,8136,0.1,
434,3428a6,6608,0.1,
435,a619e3,142,0.1,
436,ef855e,10,0.1,
437,234906,16,0.1,
438,cba746,18,0.1,
439,9392ad,16,0.1,
440,15c095,15,0.1,
441,af289f,26,0.1,
442,284a6d,14,0.1,
443,abadd5,659,0.1,
444,7ec022,24,0.1,
445,365fcf,20,0.1,
446,c628bb,11,0.1,
447,327264,14,0.1,
448,c91e1d,14,0.1,
449,c1161e,8,0.1,
450,d8a232,38,0.1,
451,42847b,8,0.1,
452,94c073,7,0.1,
453,1ca4a0,5,0.1,
454,ef5bbe,7,0.1,
455,af2969,8,0.1,
456,9005ff,8,0.1,
457,557c26,9,0.1,
458,cf52f4,9,0.1,
459,e7ac2e,341,0.1,
460,081b14,251,0.1,
461,aeca1a,383,0.1,
462,80f839,7707,0.1,
463,3f73a3,316,0.1,
464,aa522a,8,0.1,
465,b4b839,36,0.1,
466,72366a,3,0.1,
467,e56006,18,0.1,
468,bee4cb,10,0.1,
469,61f3f8,12,0.1,
470,bcd3f6,6,0.1,
471,a6dfca,14,0.1,
472,ac19a6,23,0.1,
473,03d855,827956,1.0,
474,bd4f69,109,0.1,
475,c18436,33,0.1,
476,7679e6,14,0.1,
477,198d5b,11,0.1,
478,551768,18,0.1,
479,5c2424,14,0.1,
480,9fee23,30,0.1,
481,aa8c2b,4,0.1,
482,8cd195,4,0.1,
483,44f9c7,2089,0.1,
484,0531bc,6,0.1,
485,79d32e,33,0.1,
486,0bad78,4,0.1,
487,0e110a,4,0.1,
488,274929,16,0.1,
489,9276aa,1,0.1,
490,303316,3,0.1,
491,9980c2,1084,0.1,
492,e3e950,409,0.1,
493,cbf3d8,378,0.1,
494,6ac82e,332,0.1,
495,dfbfcf,184,0.1,
496,f20dcb,17713,0.1,
497,a64f9c,5862,0.1,
498,827bd3,8549,0.1,
499,62cc53,4247,0.1,
500,d4968f,22,0.1,
501,730afe,16,0.1,
502,926173,53,0.1,
503,3ab6c6,39,0.1,
504,7701fc,4,0.1,
505,08d53d,4,0.1,
506,a95872,45,0.1,
507,4edf8b,17,0.1,
508,719025,11,0.1,
509,180f51,103,0.1,
510,30891e,232,0.1,
511,3da658,186,0.1,
512,23073b,124,0.1,
513,fc348a,8219,0.1,
514,aaddd2,42,0.1,
515,b7d7db,41,0.1,
516,8160d1,91,0.1,
517,96ce15,191,0.1,
518,241059,67,0.1,
519,401ebb,97,0.1,
520,59c26f,3,0.1,
521,a05b31,4256,0.1,
522,35b905,213,0.1,
523,2cd5fe,65875,0.1,
524,b80ce8,12,0.1,
525,a05780,21,0.1,
526,2a1ab3,5,0.1,
527,658140,11,0.1,
528,05e1ad,13,0.1,
529,0b89f0,17,0.1,
530,0b21fa,4,0.1,
531,409625,5,0.1,
532,7c4a3c,11,0.1,
533,042a21,3093,0.1,
534,ff9b9e,17826,0.1,
535,a27175,5489,0.1,
536,4d9411,8254,0.1,
537,3e02d5,28,0.1,
538,7633d4,46,0.1,
539,1a04a9,8135,0.1,
540,5d1c6f,8093,0.1,
541,fd8667,18,0.1,
542,a36266,15,0.1,
543,e5850c,34,0.1,
544,76686b,39,0.1,
545,fd4f35,4,0.1,
546,36b68a,4,0.1,
547,344012,5,0.1,
548,9fe99e,4,0.1,
549,3e7cef,4,0.1,
550,917fb7,15,0.1,
551,3b2dbc,22,0.1,
552,e56be5,3,0.1,
553,9d3dd9,3,0.1,
554,2383ec,21,0.1,
555,601491,33,0.1,
556,617f84,26,0.1,
557,bce5f3,67,0.1,
558,7371f2,52,0.1,
559,308f1c,6602,0.1,
560,ffb1bd,16,0.1,
561,b4bf20,117,0.1,
562,f8cb24,94,0.1,
563,4c743f,48,0.1,
564,ae4686,48,0.1,
565,6c63df,9,0.1,
566,6cb2e9,28,0.1,
567,5b7120,1928,0.1,
568,f9c419,19,0.1,
569,b63691,1341,0.1,
570,6ca723,14,0.1,
571,6cffe9,12,0.1,
572,b7ba6f,15,0.1,
573,1a3394,209,0.1,
574,a5d528,216,0.1,
575,87bb45,91,0.1,
576,d05405,114,0.1,
577,794d46,13,0.1,
578,a9d0e8,14,0.1,
579,470c59,879,0.1,
580,28420f,89,0.1,
581,20d7d5,455,0.1,
582,37e9e3,2472,0.1,
583,7ef92f,1230,0.1,
584,1c1c52,1503,0.1,
585,e097b0,857,0.1,
586,3f7b17,1672,0.1,
587,a2e4fd,10913,0.1,
588,651b19,34908,0.1,
589,dd748b,14358,0.1,
590,4f4178,16758,0.1,
591,0dc63b,34722,0.1,
592,bd222a,34890,0.1,
593,b55f05,12,0.1,
594,6e1b58,7,0.1,
595,8232d2,18,0.1,
596,e964f6,21,0.1,
597,5463ec,23503,0.1,
598,88b8ee,7429,0.1,
599,c8fbb5,6459,0.1,
600,ba7217,29,0.1,
601,d2ae89,3,0.1,
602,d03072,20,0.1,
603,b76144,42,0.1,
604,fec565,10,0.1,
605,2f2061,8,0.1,
606,1300fc,17,0.1,
607,0b5593,22,0.1,
608,148514,1850,0.1,
609,b77357,35,0.1,
610,9ce47d,11201,0.1,
611,05356b,4184,0.1,
612,3c5e0b,5632,0.1,
613,2991a6,3266,0.1,
614,23030e,6203,0.1,
615,4d6ecc,283,0.1,
616,bcc643,16,0.1,
617,fb5bda,12,0.1,
618,e35a94,3,0.1,
619,2f4c36,9,0.1,
620,c6cf54,14,0.1,
621,22de76,12,0.1,
622,221978,7,0.1,
623,aed8b1,42,0.1,
624,cda3ed,5,0.1,
625,9b554e,5,0.1,
626,0ed385,5,0.1,
627,a0520d,5,0.1,
628,f63fc4,4,0.1,
629,5d0496,12,0.1,
630,d60db8,3,0.1,
631,e82c24,291,0.1,
632,1ba9c9,707,0.1,
633,89fcc5,836,0.1,
634,956842,10,0.1,
635,4af69f,4584,0.1,
636,e33c05,322,0.1,
637,0a0b9c,200,0.1,
638,80da8e,811,0.1,
639,9042fe,355,0.1,
640,0ba236,621,0.1,
641,4a2860,360,0.1,
642,9c3426,377,0.1,
643,cee316,190,0.1,
644,864cc1,317,0.1,
645,5f83ca,5,0.1,
646,ef2995,10,0.1,
647,00e2bd,11,0.1,
648,37e3b7,10,0.1,
649,8b4377,6,0.1,
650,ba9bd1,13,0.1,
651,a520ba,15,0.1,
652,d82eef,16,0.1,
653,d6c8fe,44,0.1,
654,56075d,14,0.1,
655,14b133,6,0.1,
656,79f946,6,0.1,
657,c98c13,8,0.1,
658,4c6514,4,0.1,
659,62ee50,4803,0.1,
660,2384ad,4,0.1,
661,441cb6,22,0.1,
662,5f3df9,7983,0.1,
663,6a546d,27,0.1,
664,adc532,24,0.1,
665,c747aa,21,0.1,
666,0d8355,4,0.1,
667,ae65c8,12,0.1,
668,bc0e54,18,0.1,
669,1c95c6,22,0.1,
670,1e9f65,28,0.1,
671,a14ac2,7300,0.1,
672,3aa6ac,13,0.1,
673,cf176f,58,0.1,
674,acce1e,6,0.1,
675,ff088e,234,0.1,
676,3ffc93,15,0.1,
677,8aa6ab,14,0.1,
678,9f21e2,13,0.1,
679,2b6962,1808,0.1,
680,89a798,12,0.1,
681,868da9,12,0.1,
682,77f8fc,203,0.1,
683,e1e25f,348973,0.3,
684,2dd297,49,0.1,
685,e86ab8,71,0.1,
686,9556ec,242,0.1,
687,bf41ab,307,0.1,
688,626362,18,0.1,
689,56b053,1977,0.1,
690,d6147f,2358,0.1,
691,427fd7,335,0.1,
692,9f78df,4,0.1,
693,ae307e,4,0.1,
694,e93d3c,25,0.1,
695,5e7fc2,21,0.1,
696,fbd5ac,21,0.1,
697,e95a74,34,0.1,
698,04b884,34677,0.1,
699,f29cca,3,0.1,
700,741756,2193,0.1,
701,8fa525,1226,0.1,
702,3a3a8e,727,0.1,
703,06f0ea,716,0.1,
704,74c0fc,24,0.1,
705,0a8980,547,0.1,
706,1bc313,83,0.1,
707,fb1803,6,0.1,
708,c1a945,14,0.1,
709,1aa8d4,14,0.1,
710,412843,13,0.1,
711,5b810e,39,0.1,
712,2d5d23,13,0.1,
713,163495,293,0.1,
714,10fb8b,18,0.1,
715,3c6cb5,13,0.1,
716,f68dc6,11,0.1,
717,f0a41b,157,0.1,
718,d5b38f,8844,0.1,
719,e1e25f,348973,0.3,
720,ac4d2f,57,0.1,
721,a61bcd,12,0.1,
722,1ba6a8,9,0.1,
723,9aac4c,81,0.1,
724,90c0e4,6,0.1,
725,319b91,11,0.1,
726,33d716,13,0.1,
727,3b5b7e,7,0.1,
728,8c7269,8,0.1,
729,18a017,9,0.1,
730,1e1965,9,0.1,
731,e41e54,6,0.1,
732,404aeb,7,0.1,
733,ab3f21,11,0.1,
734,252204,44,0.1,
735,fd388b,23,0.1,
736,7ec61c,712,0.1,
737,184eec,741,0.1,
738,ae9900,720,0.1,
739,b8ce10,2215,0.1,
740,759029,707,0.1,
741,e09db7,1209,0.1,
742,014fe2,2471,0.1,
743,8798d6,1221,0.1,
744,0a7ef5,1703,0.1,
745,63a433,1270,0.1,
746,10dd82,17,0.1,
747,9de84c,14,0.1,
748,ac0aac,2124,0.1,
749,dfb3e1,52,0.1,
750,497c77,14236,0.1,
751,f927ab,9264,0.1,
752,1019fa,9192,0.1,
753,51caf6,4964,0.1,
754,b29e41,710,0.1,
755,4d503e,9797,0.1,
756,d54e98,730,0.1,
757,38ccae,82,0.1,
758,8d8309,47,0.1,
759,498ebb,8,0.1,
760,5b0cec,39,0.1,
761,351fd4,41,0.1,
762,a3c021,699,0.1,
763,4626f0,30,0.1,
764,80ee84,14,0.1,
765,41d56a,10,0.1,
766,7db0b3,9,0.1,
767,2a394b,189,0.1,
768,7eb751,328,0.1,
769,db73d9,21,0.1,
770,c3af3d,1110,0.1,
771,3243d5,682,0.1,
772,040ad2,19,0.1,
773,475eae,4,0.1,
774,526741,6207,0.1,
775,6029ec,3,0.1,
776,659575,5679,0.1,
777,9ce438,10,0.1,
778,f09a36,19569,0.1,
779,4e69da,6625,0.1,
780,22e0e1,18,0.1,
781,5c35bb,4,0.1,
782,82d2e1,3,0.1,
783,a332b4,13,0.1,
784,f21291,9,0.1,
785,1065e0,11812,0.1,
786,a2b257,160,0.1,
787,13cb5a,29,0.1,
788,4757b2,15455,0.1,
789,52fbc2,4,0.1,
790,724427,19,0.1,
791,a30db2,15,0.1,
792,0e30de,6,0.1,
793,1bb7aa,9811,0.1,
794,05bcf3,14,0.1,
795,923bd4,52,0.1,
796,f2626f,28,0.1,
797,8feed3,9797,0.1,
798,ae6e3a,265,0.1,
799,e1dc00,15,0.1,
800,9a7e06,4762,0.1,
801,a187fa,287,0.1,
802,f7d06f,455,0.1,
803,766c76,85,0.1,
804,af7c85,6,0.1,
805,2d54bd,3,0.1,
806,e1e25f,348973,0.3,
807,36e0e9,19,0.1,
808,5476f4,13,0.1,
809,5563ea,19,0.1,
810,eb68f9,725,0.1,
811,49e4d7,459,0.1,
812,8e06ba,30,0.1,
813,8f99b7,2,0.1,
814,199f2b,3,0.1,
815,027b78,4963,0.1,
816,aa54c9,4,0.1,
817,657f19,6014,0.1,
818,260725,3,0.1,
819,f5fb50,3,0.1,
820,d9dec1,5846,0.1,
821,fbd2e5,18,0.1,
822,9bd774,17679,0.1,
823,85f202,5829,0.1,
824,9463aa,8336,0.1,
825,b47125,63,0.1,
826,d79bf0,40,0.1,
827,2a40ca,6678,0.1,
828,298bab,10,0.1,
829,10e7bf,1338,0.1,
830,451132,14,0.1,
831,e37715,3825,0.1,
832,bd358d,3813,0.1,
833,c782d6,11,0.1,
834,b12ff0,15,0.1,
835,3fcd6f,24,0.1,
836,c6915d,21,0.1,
837,7a254e,22,0.1,
838,f10fca,17,0.1,
839,5a90db,8,0.1,
840,fe0991,25,0.1,
841,a6a108,109,0.1,
842,c59c7d,88,0.1,
843,2bf16e,139,0.1,
844,a75f66,199,0.1,
845,f0a66a,313,0.1,
846,1082c2,119,0.1,
847,5bab9c,136,0.1,
848,09c6b1,29,0.1,
849,c6581f,3230,0.1,
850,77ee10,12314,0.1,
851,2da07d,3,0.1,
852,c2a668,3,0.1,
853,886086,12,0.1,
854,cba081,11,0.1,
855,a2eb28,13,0.1,
856,f90832,5,0.1,
857,0dbc99,3,0.1,
858,2e1aef,3,0.1,
859,0da9e9,3,0.1,
860,b305c4,2091,0.1,
861,87288a,40,0.1,
862,88c982,314,0.1,
863,bc8f26,357,0.1,
864,76dddb,18187,0.1,
865,2766bd,6550,0.1,
866,ac5e9e,230,0.1,
867,d98322,5851,0.1,
868,9c7514,4,0.1,
869,3c80af,12,0.1,
870,0dfb74,7027,0.1,
871,77adc6,18,0.1,
872,f231e0,20,0.1,
873,9891a9,11,0.1,
874,d38d21,6,0.1,
875,1f91ad,21,0.1,
876,466c4a,7047,0.1,
877,e755b4,8061,0.1,
878,d7f5ae,14,0.1,
879,5716f6,6,0.1,
880,bbeb69,40,0.1,
881,d73cd7,86,0.1,
882,cef69b,6656,0.1,
883,7fc7cb,4,0.1,
884,987154,13,0.1,
885,1d0d73,6726,0.1,
886,64b98e,6321,0.1,
887,315dc8,8,0.1,
888,f4ae8d,17,0.1,
889,88354e,7,0.1,
890,1be927,7982,0.1,
891,e4b420,105,0.1,
892,50b0a9,13,0.1,
893,b0f1be,35,0.1,
894,9980a2,15,0.1,
895,d0648d,4319,0.1,
896,240414,39,0.1,
897,919558,1989,0.1,
898,8b6f43,22,0.1,
899,4a40ee,8,0.1,
900,c72a5a,222,0.1,
901,2e7437,789179,0.5,
902,863a10,7,0.1,
903,bc8ad3,10,0.1,
904,a682ae,317,0.1,
905,941cfe,42,0.1,
906,2439d5,21,0.1,
907,2c442b,25,0.1,
908,59e95a,19601,0.1,
909,ac3a1b,8528,0.1,
910,29f6ca,3,0.1,
911,650df0,4,0.1,
912,1cb03a,20,0.1,
913,92b8ba,7985,0.1,
914,26dd62,3,0.1,
915,0b4748,4,0.1,
916,a16abb,8083,0.1,
917,ff43a5,3,0.1,
918,a5f0d0,231,0.1,
919,2e7437,789179,0.5,
920,0eabd4,251,0.1,
921,fa9a27,378,0.1,
922,c73a31,4649,0.1,
923,238425,20,0.1,
924,3fed9b,4,0.1,
925,494138,5847,0.1,
926,4af7b4,6688,0.1,
927,f41f2f,28872,0.1,
928,5d32f9,6,0.1,
929,008b41,25,0.1,
930,563ece,12,0.1,
931,2e7437,789179,0.5,
932,e4f0a6,82,0.1,
933,874c44,237,0.1,
934,e01e3f,41,0.1,
935,0c7793,23,0.1,
936,6ec724,12,0.1,
937,bfb511,27,0.1,
938,929e39,14,0.1,
939,71264a,42,0.1,
940,cd1aa5,17791,0.1,
941,cbfafe,5886,0.1,
942,5c2460,8278,0.1,
943,933f57,23,0.1,
944,792ecb,32,0.1,
945,c2d522,13,0.1,
946,8cd089,11,0.1,
947,06a9e2,29,0.1,
948,33e09c,11,0.1,
949,713e2f,8518,0.1,
950,b7538b,8162,0.1,
951,8d418b,26,0.1,
952,c451f1,61,0.1,
953,73b18f,58,0.1,
954,e69755,6571,0.1,
955,ed2218,12,0.1,
956,b41296,9757,0.1,
957,cc150d,47,0.1,
958,2ba81c,26,0.1,
959,bb7e50,9,0.1,
960,df0ddb,2026,0.1,
961,c95e5b,23,0.1,
962,4f264f,1265,0.1,
963,f03a95,23,0.1,
964,0fb1d5,16,0.1,
965,6b712c,15,0.1,
966,ae3ddb,112,0.1,
967,9953e5,94,0.1,
968,0f2b23,10,0.1,
969,cdfd09,375,0.1,
